customerID,churn_prob,risk_tier,intervention,tenure,contract_enc,MonthlyCharges,service_depth,high_risk_combo,ltv_proxy
5565-EYQSR,0.959,Critical,Offer annual contract upgrade + discount,18,0,116.96,3,1,2105.2799999999997
5507-DVHNJ,0.9577,Critical,Offer annual contract upgrade + discount,3,0,113.7,4,1,341.1
8497-JPOKH,0.957,Critical,Offer annual contract upgrade + discount,1,0,113.64,5,0,113.64
7696-JQOUJ,0.9559,Critical,Offer annual contract upgrade + discount,3,0,118.25,7,1,354.75
7397-WEGFN,0.9551,Critical,Offer annual contract upgrade + discount,10,0,115.49,7,1,1154.8999999999999
2468-AABCQ,0.9549,Critical,Offer annual contract upgrade + discount,1,0,113.81,7,0,113.81
4589-WVOAL,0.953,Critical,Offer annual contract upgrade + discount,3,0,113.71,5,1,341.13
3715-MADFE,0.9527,Critical,Offer annual contract upgrade + discount,17,0,116.86,4,1,1986.62
7659-ZSVPL,0.9507,Critical,Offer annual contract upgrade + discount,71,0,24.45,3,1,1735.95
8930-LNWZB,0.9504,Critical,Offer annual contract upgrade + discount,23,0,105.8,3,1,2433.4
6291-CELNJ,0.9489,Critical,Offer annual contract upgrade + discount,72,0,21.62,6,1,1556.64
3811-EJRXF,0.9481,Critical,Offer annual contract upgrade + discount,16,0,45.26,1,0,724.16
3687-ZYCON,0.9473,Critical,Offer annual contract upgrade + discount,5,0,111.69,7,0,558.45
2539-OIBCU,0.947,Critical,Offer annual contract upgrade + discount,6,0,115.26,4,1,691.5600000000001
9673-XTOUJ,0.9462,Critical,Offer annual contract upgrade + discount,17,0,105.24,5,1,1789.08
1757-UYQEL,0.9439,Critical,Offer annual contract upgrade + discount,2,0,118.42,4,0,236.84
5786-QRHKA,0.9435,Critical,Offer annual contract upgrade + discount,9,0,19.62,1,0,176.58
2163-FEUKI,0.9419,Critical,Offer annual contract upgrade + discount,71,0,22.3,5,1,1583.3
7661-XXOMN,0.9408,Critical,Offer annual contract upgrade + discount,17,0,88.48,4,1,1504.16
3800-KSIDN,0.9403,Critical,Offer annual contract upgrade + discount,71,0,30.83,5,1,2188.93
6541-GSCSM,0.9392,Critical,Offer annual contract upgrade + discount,3,0,104.93,6,1,314.79
9958-BMJNU,0.9391,Critical,Offer annual contract upgrade + discount,71,0,21.96,8,1,1559.16
2748-HCGMD,0.9389,Critical,Offer annual contract upgrade + discount,3,0,21.83,5,1,65.49
3692-YCVHC,0.9385,Critical,Offer annual contract upgrade + discount,71,0,24.58,4,1,1745.1799999999998
4817-CMVUJ,0.9382,Critical,Offer annual contract upgrade + discount,72,0,19.13,5,0,1377.36
5223-WEVWM,0.9374,Critical,Offer annual contract upgrade + discount,17,0,90.09,3,1,1531.53
7728-NMZPX,0.9365,Critical,Offer annual contract upgrade + discount,10,0,117.56,5,1,1175.6
1276-JNYNI,0.9362,Critical,Offer annual contract upgrade + discount,24,0,104.77,6,1,2514.48
5392-QQBCT,0.9342,Critical,Offer annual contract upgrade + discount,34,0,113.91,3,1,3872.94
2304-GCEIM,0.9329,Critical,Offer annual contract upgrade + discount,8,0,112.4,3,1,899.2
3811-NUPRE,0.9325,Critical,Offer annual contract upgrade + discount,4,0,31.59,3,0,126.36
9381-KZAPV,0.9321,Critical,Offer annual contract upgrade + discount,47,0,92.32,4,1,4339.04
6498-ZEWRU,0.9318,Critical,Offer annual contract upgrade + discount,1,0,48.01,8,0,48.01
2061-LLNXR,0.9315,Critical,Offer annual contract upgrade + discount,4,0,100.61,6,0,402.44
4216-LEJWN,0.931,Critical,Offer annual contract upgrade + discount,51,0,19.55,4,1,997.0500000000001
5657-PHKFH,0.9293,Critical,Offer annual contract upgrade + discount,4,0,99.54,4,0,398.16
4099-VUOIN,0.9289,Critical,Offer annual contract upgrade + discount,27,0,104.33,4,1,2816.91
6235-PAAPM,0.9284,Critical,Offer annual contract upgrade + discount,30,0,22.23,6,0,666.9
7615-QAEHE,0.9283,Critical,Offer annual contract upgrade + discount,0,0,117.68,6,1,0.0
5679-MJMNS,0.9281,Critical,Offer annual contract upgrade + discount,16,0,115.78,1,0,1852.48
1336-JNJLG,0.9281,Critical,Offer annual contract upgrade + discount,44,0,115.6,5,1,5086.4
6934-FQLFR,0.9276,Critical,Offer annual contract upgrade + discount,18,0,91.05,3,1,1638.8999999999999
4514-TJPDF,0.9274,Critical,Offer annual contract upgrade + discount,19,0,21.78,4,1,413.82000000000005
8379-FQLOL,0.9267,Critical,Offer annual contract upgrade + discount,34,0,106.3,6,0,3614.2
6113-QRYNB,0.9263,Critical,Bundle security add-on — proactive outreach,70,1,19.4,2,0,1358.0
3595-VIHTT,0.9262,Critical,Offer annual contract upgrade + discount,24,0,106.2,5,1,2548.8
2305-CUJQB,0.926,Critical,Offer annual contract upgrade + discount,26,0,19.89,4,0,517.14
2312-OLSLC,0.9253,Critical,Offer annual contract upgrade + discount,10,0,21.6,4,1,216.0
4334-OWXOA,0.9252,Critical,Offer annual contract upgrade + discount,56,0,117.68,4,1,6590.08
4055-FCUTM,0.9251,Critical,Offer annual contract upgrade + discount,70,0,50.43,6,1,3530.1
3541-JGHJX,0.9246,Critical,Offer annual contract upgrade + discount,28,0,21.94,5,1,614.32
5983-OLOBA,0.9245,Critical,Offer annual contract upgrade + discount,15,0,116.58,5,1,1748.7
3746-KOEIF,0.9244,Critical,Offer annual contract upgrade + discount,24,0,46.78,4,1,1122.72
8215-FRTDV,0.9243,Critical,Offer annual contract upgrade + discount,22,0,116.27,5,0,2557.94
6166-SHCFK,0.9241,Critical,Offer annual contract upgrade + discount,2,0,59.79,4,0,119.58
2699-VSCRM,0.924,Critical,Offer annual contract upgrade + discount,19,0,22.21,4,0,421.99
7109-QZMEW,0.9239,Critical,Offer annual contract upgrade + discount,26,0,110.67,3,0,2877.42
7460-ZRLBM,0.9231,Critical,Offer annual contract upgrade + discount,1,0,76.49,3,0,76.49
4246-RJADJ,0.9227,Critical,Offer annual contract upgrade + discount,9,0,91.95,3,1,827.5500000000001
3565-WECNF,0.9227,Critical,Offer annual contract upgrade + discount,72,0,93.04,7,0,6698.88
6933-WKEZV,0.9226,Critical,Offer annual contract upgrade + discount,71,0,100.86,4,0,7161.06
3572-RMUNQ,0.9221,Critical,Offer annual contract upgrade + discount,1,0,72.76,6,0,72.76
2395-RCWGC,0.9211,Critical,Offer annual contract upgrade + discount,17,0,80.38,4,1,1366.46
4719-UNWFP,0.9204,Critical,Offer annual contract upgrade + discount,69,0,114.61,7,1,7908.09
4179-XRRBY,0.9203,Critical,Bundle security add-on — proactive outreach,6,1,21.82,9,0,130.92000000000002
9870-HCCED,0.9197,Critical,Offer annual contract upgrade + discount,16,0,92.06,5,1,1472.96
8097-CDVLN,0.919,Critical,Offer annual contract upgrade + discount,29,0,114.39,7,1,3317.31
1082-KRYTI,0.9189,Critical,Offer annual contract upgrade + discount,13,0,20.06,6,1,260.78
7761-TQCQW,0.918,Critical,Offer annual contract upgrade + discount,1,0,112.66,1,0,112.66
3066-VWRKY,0.9176,Critical,Offer annual contract upgrade + discount,48,0,117.59,5,0,5644.32
3964-YOSEZ,0.9164,Critical,Offer annual contract upgrade + discount,3,0,113.72,8,0,341.15999999999997
3329-GTYEW,0.9151,Critical,Offer annual contract upgrade + discount,18,0,94.09,3,1,1693.6200000000001
9709-TDNWI,0.9149,Critical,Offer annual contract upgrade + discount,17,0,22.58,7,1,383.85999999999996
2521-RWFAK,0.9129,Critical,Offer annual contract upgrade + discount,35,0,19.82,8,0,693.7
4420-HKFYL,0.9121,Critical,Offer annual contract upgrade + discount,51,0,20.44,5,0,1042.44
6501-XGSTF,0.9121,Critical,Offer annual contract upgrade + discount,5,0,74.81,4,0,374.05
4172-BAWNW,0.9117,Critical,Offer annual contract upgrade + discount,51,0,102.33,4,1,5218.83
4830-STUHB,0.9112,Critical,Offer annual contract upgrade + discount,1,0,113.73,2,0,113.73
1925-GRSXI,0.911,Critical,Offer annual contract upgrade + discount,70,0,97.57,5,0,6829.9
8845-YDFZD,0.9103,Critical,Bundle security add-on — proactive outreach,71,2,19.99,3,0,1419.29
2528-VODQZ,0.9102,Critical,Offer annual contract upgrade + discount,1,0,116.22,1,0,116.22
6114-UXUPE,0.9101,Critical,Offer annual contract upgrade + discount,29,0,70.05,3,1,2031.4499999999998
5603-CJZHH,0.91,Critical,Offer annual contract upgrade + discount,55,0,115.71,4,1,6364.049999999999
4176-HOWQW,0.9099,Critical,Offer annual contract upgrade + discount,13,0,87.13,4,1,1132.69
8765-ZGTYD,0.9098,Critical,Offer annual contract upgrade + discount,67,0,84.16,6,1,5638.719999999999
2173-YZXAP,0.9098,Critical,Offer annual contract upgrade + discount,71,0,74.73,6,1,5305.83
8210-BWNRJ,0.9097,Critical,Offer annual contract upgrade + discount,51,0,19.59,5,1,999.09
9209-ZSNBR,0.9093,Critical,Offer annual contract upgrade + discount,13,0,22.44,5,1,291.72
3946-EVZPU,0.9075,Critical,Offer annual contract upgrade + discount,25,0,101.86,4,1,2546.5
8881-JMPOO,0.9073,Critical,Offer annual contract upgrade + discount,23,0,104.55,2,0,2404.65
1039-QGOQZ,0.9072,Critical,Bundle security add-on — proactive outreach,4,1,104.45,4,0,417.8
4959-ZBORV,0.9068,Critical,Offer annual contract upgrade + discount,53,0,19.48,5,1,1032.44
7077-ZWRAR,0.9065,Critical,Offer annual contract upgrade + discount,71,0,55.46,5,1,3937.66
5052-ISIZT,0.9061,Critical,Offer annual contract upgrade + discount,3,0,21.59,6,1,64.77
1615-CBCKJ,0.9056,Critical,Offer annual contract upgrade + discount,4,0,114.69,5,0,458.76
6774-UQAFE,0.9043,Critical,Offer annual contract upgrade + discount,1,0,47.26,6,1,47.26
1765-YWOVH,0.9039,Critical,Offer annual contract upgrade + discount,20,0,103.9,6,1,2078.0
6347-BCBFL,0.9024,Critical,Offer annual contract upgrade + discount,27,0,25.29,6,1,682.8299999999999
8982-WNXAM,0.901,Critical,Offer annual contract upgrade + discount,1,0,40.86,6,1,40.86
5616-JOKPP,0.9008,Critical,Offer annual contract upgrade + discount,70,0,22.31,3,1,1561.6999999999998
7909-HFGUF,0.9006,Critical,Offer annual contract upgrade + discount,26,0,96.64,5,1,2512.64
6775-XYSMJ,0.9006,Critical,Offer annual contract upgrade + discount,72,0,56.22,6,0,4047.84
6705-MHCRD,0.8999,Critical,Offer annual contract upgrade + discount,9,0,39.85,6,1,358.65000000000003
5698-KFGBK,0.8996,Critical,Offer annual contract upgrade + discount,5,0,23.3,6,0,116.5
8663-RKQTO,0.8995,Critical,Offer annual contract upgrade + discount,25,0,19.56,4,1,488.99999999999994
9396-MBGAU,0.8991,Critical,Offer annual contract upgrade + discount,18,0,74.21,4,1,1335.78
6822-UDOZT,0.8988,Critical,Offer annual contract upgrade + discount,51,0,113.44,7,1,5785.44
7731-HBAQQ,0.8987,Critical,Offer annual contract upgrade + discount,70,0,35.16,6,1,2461.2
7228-PESSC,0.8986,Critical,Offer annual contract upgrade + discount,3,0,31.68,4,0,95.03999999999999
2160-IYZFK,0.8985,Critical,Offer annual contract upgrade + discount,53,0,27.7,3,1,1468.1
1653-YXNBD,0.8977,Critical,Offer annual contract upgrade + discount,4,0,58.51,4,1,234.04
6451-PUYMS,0.8977,Critical,Offer annual contract upgrade + discount,13,0,112.16,7,1,1458.08
3111-KMCXF,0.8975,Critical,Offer annual contract upgrade + discount,1,0,117.23,4,0,117.23
6299-OKIRJ,0.8974,Critical,Offer annual contract upgrade + discount,9,0,115.47,5,1,1039.23
4329-HDCCK,0.8973,Critical,Offer annual contract upgrade + discount,34,0,115.33,3,0,3921.22
6493-FRQYV,0.8972,Critical,Offer annual contract upgrade + discount,57,0,51.3,5,1,2924.1
7161-CAAAV,0.8972,Critical,Offer annual contract upgrade + discount,8,0,76.62,3,1,612.96
6045-RJDPE,0.897,Critical,Offer annual contract upgrade + discount,29,0,115.11,1,0,3338.19
5264-ZOZPC,0.8969,Critical,Offer annual contract upgrade + discount,9,0,109.83,2,1,988.47
3354-QBBAY,0.8966,Critical,Offer annual contract upgrade + discount,17,0,30.93,5,1,525.81
2661-YIRFT,0.8963,Critical,Offer annual contract upgrade + discount,15,0,49.56,4,1,743.4000000000001
8919-NZTMV,0.8956,Critical,Offer annual contract upgrade + discount,72,0,76.42,6,1,5502.24
3207-FQDMF,0.8953,Critical,Offer annual contract upgrade + discount,5,0,104.12,7,0,520.6
5764-ATOVC,0.8945,Critical,Offer annual contract upgrade + discount,65,0,26.88,4,1,1747.2
6210-RHXOX,0.8933,Critical,Offer annual contract upgrade + discount,3,0,112.5,4,0,337.5
4009-HDXVQ,0.8931,Critical,Offer annual contract upgrade + discount,19,0,82.13,3,0,1560.4699999999998
5723-YZFMX,0.893,Critical,Offer annual contract upgrade + discount,5,0,110.36,6,1,551.8
2700-ILAMG,0.8928,Critical,Offer annual contract upgrade + discount,10,0,103.78,5,1,1037.8
8597-QKFIO,0.8922,Critical,Offer annual contract upgrade + discount,20,0,53.91,4,1,1078.1999999999998
1171-GXFXS,0.8915,Critical,Offer annual contract upgrade + discount,14,0,27.15,6,1,380.09999999999997
9537-MVRQB,0.8911,Critical,Offer annual contract upgrade + discount,71,0,20.96,4,1,1488.16
9139-ZTFHI,0.8909,Critical,Offer annual contract upgrade + discount,63,0,90.82,5,1,5721.66
